--------------------------------
Seed:  42
Device Assigned to:  cuda
Data Directory:  ./Data
Loading data....................
(232737, 3, 66, 200)

Loaded:
Training: 232737 Images, 232737 Targets
Validation: 10000 Images, 10000 Targets
Each image has shape:(3, 66, 200)

--------------------------------
Total No. of Trainable Parameters:  23510081

#### Started Training ####
/mnt/c/Users/iambi/Desktop/Regressor/env/lib/python3.8/site-packages/torch/nn/functional.py:718: UserWarning: Named tensors and all their associated APIs are an experimental feature and subject to change. Please do not use them for anything important until they are released as stable. (Triggered internally at  /pytorch/c10/core/TensorImpl.h:1156.)
  return torch.max_pool2d(input, kernel_size, stride, padding, dilation, ceil_mode)
Ep. 136/1000:   Train: ABL 0.046, Acc. 94.97%   Val: ABL 0.211, Acc. 96.21%     Time: 438.9 s
Ep. 137/1000:   Train: ABL 0.045, Acc. 94.95%   Val: ABL 0.208, Acc. 92.85%     Time: 438.8 s
Ep. 138/1000:   Train: ABL 0.129, Acc. 93.25%   Val: ABL 0.168, Acc. 94.9%      Time: 438.2 s
Ep. 139/1000:   Train: ABL 0.035, Acc. 94.91%   Val: ABL 0.161, Acc. 94.95%     Time: 438.6 s
Ep. 140/1000:   Train: ABL 0.026, Acc. 95.58%   Val: ABL 0.151, Acc. 95.73%     Time: 438.6 s
#### New Model Saved #####
Ep. 141/1000:   Train: ABL 0.032, Acc. 95.47%   Val: ABL 0.17, Acc. 96.26%      Time: 443.9 s
Ep. 142/1000:   Train: ABL 0.112, Acc. 94.11%   Val: ABL 0.472, Acc. 91.58%     Time: 443.6 s
Ep. 143/1000:   Train: ABL 0.087, Acc. 93.58%   Val: ABL 0.2, Acc. 94.99%       Time: 443.5 s
Ep. 144/1000:   Train: ABL 0.029, Acc. 95.25%   Val: ABL 0.195, Acc. 94.22%     Time: 443.7 s
Ep. 145/1000:   Train: ABL 0.028, Acc. 95.61%   Val: ABL 0.197, Acc. 94.68%     Time: 443.4 s
Ep. 146/1000:   Train: ABL 0.036, Acc. 95.33%   Val: ABL 0.19, Acc. 93.98%      Time: 443.9 s
Ep. 147/1000:   Train: ABL 0.09, Acc. 93.95%    Val: ABL 0.192, Acc. 94.63%     Time: 443.4 s
Ep. 148/1000:   Train: ABL 0.031, Acc. 95.37%   Val: ABL 0.165, Acc. 95.27%     Time: 441.5 s
Ep. 149/1000:   Train: ABL 0.025, Acc. 95.86%   Val: ABL 0.199, Acc. 96.04%     Time: 441.3 s
Ep. 150/1000:   Train: ABL 0.038, Acc. 95.36%   Val: ABL 0.184, Acc. 93.06%     Time: 438.8 s
Ep. 151/1000:   Train: ABL 0.047, Acc. 95.07%   Val: ABL 0.15, Acc. 95.37%      Time: 439.4 s
#### New Model Saved #####
Ep. 152/1000:   Train: ABL 0.033, Acc. 95.55%   Val: ABL 0.2, Acc. 93.62%       Time: 439.1 s
Ep. 153/1000:   Train: ABL 0.035, Acc. 95.64%   Val: ABL 0.212, Acc. 94.23%     Time: 439.1 s
Ep. 154/1000:   Train: ABL 0.036, Acc. 95.47%   Val: ABL 0.183, Acc. 94.7%      Time: 439.1 s
Ep. 155/1000:   Train: ABL 0.031, Acc. 95.82%   Val: ABL 0.179, Acc. 95.46%     Time: 439.2 s
Ep. 156/1000:   Train: ABL 0.035, Acc. 95.55%   Val: ABL 0.216, Acc. 94.9%      Time: 438.8 s
Ep. 157/1000:   Train: ABL 0.033, Acc. 95.71%   Val: ABL 0.167, Acc. 94.9%      Time: 438.6 s
Ep. 158/1000:   Train: ABL 0.036, Acc. 95.68%   Val: ABL 0.175, Acc. 95.04%     Time: 439.0 s
Ep. 159/1000:   Train: ABL 0.03, Acc. 95.92%    Val: ABL 0.242, Acc. 94.63%     Time: 438.9 s
Ep. 160/1000:   Train: ABL 0.033, Acc. 95.66%   Val: ABL 0.183, Acc. 95.07%     Time: 439.0 s
Ep. 161/1000:   Train: ABL 0.036, Acc. 95.75%   Val: ABL 0.18, Acc. 95.19%      Time: 439.3 s
Ep. 162/1000:   Train: ABL 0.037, Acc. 95.58%   Val: ABL 0.185, Acc. 94.94%     Time: 438.6 s
Ep. 163/1000:   Train: ABL 0.022, Acc. 96.33%   Val: ABL 0.172, Acc. 95.92%     Time: 438.8 s
Ep. 164/1000:   Train: ABL 0.03, Acc. 96.0%     Val: ABL 0.229, Acc. 94.11%     Time: 438.9 s
Ep. 165/1000:   Train: ABL 0.029, Acc. 95.95%   Val: ABL 0.197, Acc. 95.55%     Time: 438.9 s
Ep. 166/1000:   Train: ABL 0.033, Acc. 95.85%   Val: ABL 0.185, Acc. 93.84%     Time: 438.6 s
Ep. 167/1000:   Train: ABL 0.024, Acc. 96.35%   Val: ABL 0.207, Acc. 95.14%     Time: 438.9 s
Ep. 168/1000:   Train: ABL 0.036, Acc. 95.61%   Val: ABL 0.19, Acc. 94.44%      Time: 438.9 s
Ep. 169/1000:   Train: ABL 0.032, Acc. 95.85%   Val: ABL 0.211, Acc. 95.81%     Time: 438.9 s
Ep. 170/1000:   Train: ABL 0.032, Acc. 96.07%   Val: ABL 0.177, Acc. 96.19%     Time: 438.8 s
Ep. 171/1000:   Train: ABL 0.075, Acc. 94.66%   Val: ABL 0.202, Acc. 94.63%     Time: 442.7 s
Ep. 172/1000:   Train: ABL 0.027, Acc. 95.71%   Val: ABL 0.192, Acc. 95.05%     Time: 441.6 s
Ep. 173/1000:   Train: ABL 0.018, Acc. 96.51%   Val: ABL 0.186, Acc. 94.84%     Time: 442.2 s
Ep. 174/1000:   Train: ABL 0.019, Acc. 96.6%    Val: ABL 0.205, Acc. 95.66%     Time: 440.2 s
Ep. 175/1000:   Train: ABL 0.034, Acc. 95.94%   Val: ABL 0.178, Acc. 96.38%     Time: 438.6 s
Ep. 176/1000:   Train: ABL 0.026, Acc. 96.31%   Val: ABL 0.213, Acc. 95.18%     Time: 438.5 s
Ep. 177/1000:   Train: ABL 0.053, Acc. 95.08%   Val: ABL 0.223, Acc. 95.09%     Time: 438.7 s
Ep. 178/1000:   Train: ABL 0.023, Acc. 96.19%   Val: ABL 0.2, Acc. 95.78%       Time: 438.3 s
Ep. 179/1000:   Train: ABL 0.017, Acc. 96.74%   Val: ABL 0.193, Acc. 95.52%     Time: 440.3 s
